trade_date,pred_up_prob,pred_ret,true_up,true_ret
2025-06-26,0.3422573208808899,0.05029965192079544,1.0,0.07889125496149063
2025-06-27,0.26747310161590576,-0.007926307618618011,0.0,-0.025691699236631393
2025-06-30,0.24658042192459106,-0.014003805816173553,0.0,-0.026369167491793633
2025-07-01,0.24710337817668915,0.01710241287946701,0.0,-0.02916666679084301
2025-07-02,0.26213502883911133,0.016007661819458008,1.0,0.0021459227427840233
2025-07-03,0.24177324771881104,0.027289584279060364,1.0,0.02783725969493389
2025-07-04,0.15151821076869965,-0.035631753504276276,1.0,0.012500000186264515
2025-07-07,0.1785772442817688,-0.03440766781568527,1.0,0.02674897201359272
2025-07-08,0.285410076379776,0.023761659860610962,0.0,-0.020040079951286316
2025-07-09,0.2999066710472107,0.02018819749355316,1.0,0.012269938364624977
2025-07-10,0.3227320611476898,0.01830267906188965,1.0,0.02222222276031971
2025-07-11,0.3545476794242859,0.017674878239631653,0.0,-0.035573121160268784
2025-07-14,0.38616594672203064,0.010788358747959137,0.0,-0.01024590153247118
2025-07-15,0.39211413264274597,0.006953813135623932,0.0,-0.0020703934133052826
2025-07-16,0.3344646096229553,0.015800245106220245,1.0,0.004149377811700106
2025-07-17,0.3530462086200714,0.01689816266298294,0.0,-0.00413223123177886
2025-07-18,0.3555107116699219,0.013815268874168396,1.0,0.006224066484719515
2025-07-21,0.3669132888317108,0.008227147161960602,1.0,0.002061855746433139
2025-07-22,0.3606796860694885,0.006674729287624359,1.0,0.008230452425777912
2025-07-23,0.3705468773841858,0.0019957348704338074,1.0,0.020408162847161293
2025-07-24,0.3779006898403168,-0.0005640387535095215,0.0,-0.004000000189989805
2025-07-25,0.40087801218032837,0.0026270300149917603,0.0,0.0
2025-07-28,0.3993282914161682,-4.091113805770874e-05,1.0,0.0401606410741806
2025-07-29,0.4069647192955017,0.004336901009082794,0.0,0.0
2025-07-30,0.40726083517074585,-0.0031634941697120667,1.0,0.027027027681469917
2025-07-31,0.40230032801628113,-0.008904360234737396,0.0,-0.06390977650880814
2025-08-01,0.41738787293434143,-0.0070268139243125916,0.0,-0.014056225307285786
2025-08-04,0.4248732030391693,-0.010365277528762817,1.0,0.018329938873648643
2025-08-05,0.4360939562320709,-0.008165605366230011,0.0,-0.0020000000949949026
2025-08-06,0.44666385650634766,-0.0022583231329917908,0.0,-0.0020040080416947603
2025-08-07,0.44381991028785706,0.012853309512138367,0.0,-0.014056225307285786
2025-08-08,0.518294632434845,-0.008150734007358551,1.0,0.018329938873648643
2025-08-11,0.49380365014076233,0.021840080618858337,1.0,0.0020000000949949026
2025-08-12,0.4929758906364441,9.097903966903687e-05,1.0,0.02594810351729393
2025-08-13,0.5123090744018555,-0.005759641528129578,0.0,-0.019455252215266228
2025-08-14,0.5134628415107727,-0.01573285460472107,1.0,0.0992063507437706
2025-08-15,0.5834128856658936,-0.00860326737165451,1.0,0.04693140834569931
2025-08-18,0.5818196535110474,-0.014765873551368713,0.0,-0.02931034564971924
2025-08-19,0.5043365955352783,-0.0005887746810913086,0.0,0.0
2025-08-20,0.5072392225265503,0.00024399161338806152,0.0,-0.003552397945895791
2025-08-21,0.5086500644683838,0.002904444932937622,1.0,0.017825311049818993
2025-08-22,0.5147615075111389,0.011197991669178009,1.0,0.017513135448098183
2025-08-25,0.5066180229187012,0.010563045740127563,1.0,0.008605851791799068
2025-08-26,0.5489970445632935,-0.0040103718638420105,0.0,-0.00853242352604866
2025-08-27,0.5571551322937012,-0.007284685969352722,1.0,0.022375214844942093
2025-08-28,0.5554584264755249,-0.014761917293071747,0.0,-0.016835017129778862
2025-08-29,0.5534597635269165,-0.01630384474992752,0.0,-0.006849315017461777
2025-09-01,0.5503637790679932,-0.010179214179515839,0.0,-0.02068965509533882
2025-09-02,0.5480891466140747,-0.0022895783185958862,0.0,-0.047535210847854614
2025-09-03,0.5525019764900208,0.0017548128962516785,1.0,0.014787430875003338
2025-09-04,0.5593130588531494,0.00033908337354660034,1.0,0.0036429872270673513
2025-09-05,0.5593222975730896,-0.0011909008026123047,0.0,-0.003629764076322317
2025-09-08,0.5589272975921631,-0.00013177096843719482,1.0,0.0018214936135336757
2025-09-09,0.5539425611495972,-0.0024853646755218506,0.0,-0.003636363660916686
2025-09-10,0.5585179328918457,-0.0004493594169616699,1.0,0.027372263371944427
2025-09-11,0.5657298564910889,0.0028366968035697937,0.0,-0.015985790640115738
2025-09-12,0.572187602519989,-0.0003863200545310974,0.0,0.0
2025-09-15,0.57627934217453,0.0002694427967071533,1.0,0.010830325074493885
2025-09-16,0.5864775776863098,-0.005638502538204193,1.0,0.01607142947614193
2025-09-17,0.5873162746429443,-0.0063885971903800964,0.0,-0.005272407550364733
2025-09-18,0.5865790247917175,-0.010619983077049255,0.0,-0.04063604399561882
2025-09-19,0.5775516033172607,-0.013939134776592255,1.0,0.003683241317048669
2025-09-22,0.5703179240226746,-0.006283938884735107,0.0,-0.02568807266652584
2025-09-23,0.5680161714553833,-0.005953468382358551,0.0,0.0
2025-09-24,0.5624419450759888,-0.004140354692935944,0.0,-0.0075329565443098545
2025-09-25,0.5582109689712524,-0.0012146607041358948,0.0,-0.017077798023819923
2025-09-26,0.5602015256881714,-0.00470859557390213,1.0,0.04440154507756233
2025-09-29,0.5610004663467407,-0.0006042718887329102,0.0,-0.018484288826584816
2025-09-30,0.5544998049736023,0.0010207369923591614,1.0,0.0037664782721549273
2025-10-09,0.4908994138240814,-0.0013437643647193909,0.0,-0.0037523452192544937
2025-10-10,0.5354809165000916,-0.009149409830570221,0.0,0.0
